Step,Time,Norm_diffusion,Norm_projection,dt,CFL
49,0.625,0.142009,0.00186754,0.0125,0.0886921
50,0.6375,0.141301,0.00184896,0.0125,0.0891366
51,0.65,0.140596,0.00183057,0.0125,0.0895834
52,0.6625,0.139895,0.00181236,0.0125,0.0900324
53,0.675,0.139197,0.00179433,0.0125,0.0904837
54,0.6875,0.138503,0.00177647,0.0125,0.0909372
55,0.7,0.137812,0.0017588,0.0125,0.091393
56,0.7125,0.137125,0.0017413,0.0125,0.0918511
57,0.725,0.136441,0.00172398,0.0125,0.0923115
58,0.7375,0.135761,0.00170683,0.0125,0.0927742
59,0.75,0.135084,0.00168985,0.0125,0.0932392
60,0.7625,0.13441,0.00167304,0.0125,0.0937066
61,0.775,0.133739,0.00165639,0.0125,0.0941763
62,0.7875,0.133072,0.00163991,0.0125,0.0946483
63,0.8,0.132409,0.0016236,0.0125,0.0951227
64,0.8125,0.131748,0.00160744,0.0125,0.0955995
65,0.825,0.131091,0.00159145,0.0125,0.0960787
66,0.8375,0.130438,0.00157562,0.0125,0.0965602
67,0.85,0.129787,0.00155994,0.0125,0.0970442
68,0.8625,0.12914,0.00154442,0.0125,0.0975307
69,0.875,0.128496,0.00152906,0.0125,0.0980195
70,0.8875,0.127855,0.00151385,0.0125,0.0985108
71,0.9,0.127217,0.00149878,0.0125,0.0990046
72,0.9125,0.126583,0.00148387,0.0125,0.0995008
73,0.925,0.125951,0.00146911,0.0125,0.0999995
74,0.9375,0.125323,0.00145449,0.0125,0.100501
75,0.95,0.124698,0.00144002,0.0125,0.101005
76,0.9625,0.124076,0.0014257,0.0125,0.101511
77,0.975,0.123457,0.00141151,0.0125,0.10202
78,0.9875,0.122842,0.00139747,0.0125,0.102531
79,1,0.122229,0.00138356,0.0125,0.103045

