Step,Time,Norm_diffusion,Norm_projection,dt,CFL
49,0.625,12.9603,0.00185669,0.0125,0.0886923
50,0.6375,12.8957,0.00183822,0.0125,0.0891369
51,0.65,12.8314,0.00181993,0.0125,0.0895837
52,0.6625,12.7673,0.00180182,0.0125,0.0900327
53,0.675,12.7036,0.00178389,0.0125,0.090484
54,0.6875,12.6403,0.00176614,0.0125,0.0909375
55,0.7,12.5772,0.00174857,0.0125,0.0913933
56,0.7125,12.5145,0.00173117,0.0125,0.0918514
57,0.725,12.452,0.00171394,0.0125,0.0923118
58,0.7375,12.3899,0.00169689,0.0125,0.0927745
59,0.75,12.3281,0.00168001,0.0125,0.0932395
60,0.7625,12.2666,0.00166329,0.0125,0.0937069
61,0.775,12.2054,0.00164674,0.0125,0.0941766
62,0.7875,12.1445,0.00163036,0.0125,0.0946486
63,0.8,12.0839,0.00161413,0.0125,0.095123
64,0.8125,12.0237,0.00159807,0.0125,0.0955998
65,0.825,11.9637,0.00158217,0.0125,0.096079
66,0.8375,11.904,0.00156643,0.0125,0.0965606
67,0.85,11.8446,0.00155085,0.0125,0.0970446
68,0.8625,11.7855,0.00153541,0.0125,0.097531
69,0.875,11.7267,0.00152014,0.0125,0.0980199
70,0.8875,11.6682,0.00150501,0.0125,0.0985112
71,0.9,11.61,0.00149004,0.0125,0.099005
72,0.9125,11.5521,0.00147521,0.0125,0.0995012
73,0.925,11.4945,0.00146053,0.0125,0.0999999
74,0.9375,11.4371,0.001446,0.0125,0.100501
75,0.95,11.3801,0.00143161,0.0125,0.101005
76,0.9625,11.3233,0.00141737,0.0125,0.101511
77,0.975,11.2668,0.00140327,0.0125,0.10202
78,0.9875,11.2106,0.0013893,0.0125,0.102531
79,1,11.1547,0.00137548,0.0125,0.103045

