Step,Time,Norm_diffusion,Norm_projection,dt,CFL
57,1.45,0.0112252,0.00182392,0.025,0.011052
58,1.475,0.0111151,0.00182808,0.025,0.0110518
59,1.5,0.0110026,0.00183137,0.025,0.0110517
60,1.525,0.0108887,0.00183348,0.025,0.0110516
61,1.55,0.0107745,0.00183564,0.025,0.0110514
62,1.575,0.0106611,0.00183649,0.025,0.0110506
63,1.6,0.0105498,0.001837,0.025,0.0110487
64,1.625,0.0104418,0.00183669,0.025,0.011058
65,1.65,0.0103382,0.00183564,0.025,0.011081
66,1.675,0.0102402,0.00183395,0.025,0.0111179
67,1.7,0.0101491,0.00183148,0.025,0.0111687
68,1.725,0.0100658,0.00182833,0.025,0.0112335
69,1.75,0.00999152,0.00182444,0.025,0.0113122
70,1.775,0.00992714,0.00181984,0.025,0.011405
71,1.8,0.00987351,0.00181452,0.025,0.0115118
72,1.825,0.00983135,0.0018085,0.025,0.0116327
73,1.85,0.00980125,0.00180176,0.025,0.0117676
74,1.875,0.0097836,0.00179433,0.025,0.0119165
75,1.9,0.00977867,0.00178621,0.025,0.0118397
76,1.925,0.0097865,0.0017774,0.025,0.0116978
77,1.95,0.009807,0.00176792,0.025,0.01157
78,1.975,0.00983988,0.00175778,0.025,0.0114561
79,2,0.00988468,0.001747,0.025,0.0113564
1,0.025,0.00701262,0.00677821,0.0125,0.0110485
2,0.0375,0.00697261,0.00985004,0.0125,0.0110554
3,0.05,0.00693473,0.0031403,0.0125,0.0110641
4,0.0625,0.00689707,0.00218045,0.0125,0.0110762
5,0.075,0.00686045,0.00111604,0.0125,0.0110917
6,0.0875,0.00682506,0.00094996,0.0125,0.0111107
7,0.1,0.00679092,0.00077559,0.0125,0.0111332
8,0.1125,0.00675819,0.000647891,0.0125,0.0111592
9,0.125,0.00672692,0.000725663,0.0125,0.0111887
10,0.1375,0.00669724,0.000627773,0.0125,0.0112216
11,0.15,0.00666923,0.000665067,0.0125,0.011258
12,0.1625,0.00664299,0.000649959,0.0125,0.011298
13,0.175,0.0066186,0.000640243,0.0125,0.0113414
14,0.1875,0.00659615,0.0006585,0.0125,0.0113884
15,0.2,0.00657571,0.000645068,0.0125,0.0114388
16,0.2125,0.00655735,0.000656847,0.0125,0.0114928
17,0.225,0.00654114,0.000655979,0.0125,0.0115504
18,0.2375,0.00652713,0.000657634,0.0125,0.0116114
19,0.25,0.00651538,0.000663704,0.0125,0.0116759
20,0.2625,0.00650592,0.000663444,0.0125,0.011744
21,0.275,0.00649879,0.000669105,0.0125,0.0118155
22,0.2875,0.00649401,0.000671302,0.0125,0.0118905
23,0.3,0.0064916,0.000674884,0.0125,0.0119421
24,0.3125,0.00649157,0.000679033,0.0125,0.0118649
25,0.325,0.00649392,0.000681982,0.0125,0.0117911
26,0.3375,0.00649864,0.000686449,0.0125,0.0117207
27,0.35,0.00650572,0.000689959,0.0125,0.0116538
28,0.3625,0.00651512,0.000694095,0.0125,0.0115905
29,0.375,0.00652682,0.000698257,0.0125,0.0115306
30,0.3875,0.00654077,0.000702269,0.0125,0.0114743
31,0.4,0.00655693,0.00070671,0.0125,0.0114215
32,0.4125,0.00657523,0.000710912,0.0125,0.0113722
33,0.425,0.00659562,0.000715393,0.0125,0.0113264
34,0.4375,0.00661802,0.000719862,0.0125,0.0112841
35,0.45,0.00664236,0.000724374,0.0125,0.0112454
36,0.4625,0.00666855,0.000729027,0.0125,0.0112101
37,0.475,0.00669651,0.00073364,0.0125,0.0111784
38,0.4875,0.00672615,0.000738385,0.0125,0.0111501
39,0.5,0.00675737,0.000743131,0.0125,0.0111253
40,0.5125,0.00679007,0.000747936,0.0125,0.011104
41,0.525,0.00682415,0.000752793,0.0125,0.0110861
42,0.5375,0.00685951,0.00075766,0.0125,0.0110717
43,0.55,0.00689602,0.000762592,0.0125,0.0110608
44,0.5625,0.0069336,0.000767527,0.0125,0.0110533
45,0.575,0.00697212,0.000772503,0.0125,0.0110493
46,0.5875,0.00701148,0.000777498,0.0125,0.0110486
47,0.6,0.00705156,0.000782506,0.0125,0.0110489
48,0.6125,0.00709225,0.000787541,0.0125,0.011049
49,0.625,0.00713345,0.000792576,0.0125,0.0110491
50,0.6375,0.00717503,0.000797628,0.0125,0.0110492
51,0.65,0.00721689,0.000802682,0.0125,0.0110492
52,0.6625,0.00725892,0.000807738,0.0125,0.0110492
53,0.675,0.00730102,0.000812796,0.0125,0.0110492
54,0.6875,0.00734308,0.000817846,0.0125,0.0110492
55,0.7,0.00738499,0.000822893,0.0125,0.0110492
56,0.7125,0.00742665,0.000827928,0.0125,0.0110492
57,0.725,0.00746797,0.000832951,0.0125,0.0110492
58,0.7375,0.00750885,0.00083796,0.0125,0.0110492
59,0.75,0.00754919,0.000842948,0.0125,0.0110492
60,0.7625,0.0075889,0.000847918,0.0125,0.0110492
61,0.775,0.0076279,0.000852862,0.0125,0.0110493
62,0.7875,0.00766609,0.000857781,0.0125,0.0110493
63,0.8,0.0077034,0.000862672,0.0125,0.0110493
64,0.8125,0.00773975,0.000867531,0.0125,0.0110493
65,0.825,0.00777505,0.000872357,0.0125,0.0110493
66,0.8375,0.00780924,0.000877147,0.0125,0.0110493
67,0.85,0.00784225,0.000881899,0.0125,0.0110493
68,0.8625,0.007874,0.000886611,0.0125,0.0110494
69,0.875,0.00790444,0.00089128,0.0125,0.0110494
70,0.8875,0.0079335,0.000895905,0.0125,0.0110494
71,0.9,0.00796114,0.000900483,0.0125,0.0110495
72,0.9125,0.00798728,0.000905012,0.0125,0.0110495
73,0.925,0.00801189,0.000909491,0.0125,0.0110495
74,0.9375,0.00803491,0.000913916,0.0125,0.0110495
75,0.95,0.00805631,0.000918288,0.0125,0.0110496
76,0.9625,0.00807604,0.000922603,0.0125,0.0110496
77,0.975,0.00809407,0.000926859,0.0125,0.0110496
78,0.9875,0.00811036,0.000931056,0.0125,0.0110497
79,1,0.00812488,0.000935192,0.0125,0.0110497
80,1.0125,0.00813761,0.000939264,0.0125,0.0110497
81,1.025,0.00814852,0.000943271,0.0125,0.0110497
82,1.0375,0.00815759,0.000947212,0.0125,0.0110498
83,1.05,0.00816481,0.000951085,0.0125,0.0110498
84,1.0625,0.00817016,0.000954889,0.0125,0.0110498
85,1.075,0.00817364,0.000958623,0.0125,0.0110498
86,1.0875,0.00817523,0.000962285,0.0125,0.0110498
87,1.1,0.00817493,0.000965872,0.0125,0.0110498
88,1.1125,0.00817276,0.000969385,0.0125,0.0110498
89,1.125,0.0081687,0.000972824,0.0125,0.0110498
90,1.1375,0.00816276,0.000976182,0.0125,0.0110498
91,1.15,0.00815496,0.000979464,0.0125,0.0110498
92,1.1625,0.00814532,0.000982664,0.0125,0.0110497
93,1.175,0.00813384,0.000985783,0.0125,0.0110497
94,1.1875,0.00812055,0.00098882,0.0125,0.0110497
95,1.2,0.00810547,0.000991773,0.0125,0.0110497
96,1.2125,0.00808864,0.000994642,0.0125,0.0110497
97,1.225,0.00807008,0.000997425,0.0125,0.0110497
98,1.2375,0.00804982,0.00100012,0.0125,0.0110497
99,1.25,0.00802791,0.00100273,0.0125,0.0110497
100,1.2625,0.00800438,0.00100525,0.0125,0.0110496
101,1.275,0.00797928,0.00100769,0.0125,0.0110496
102,1.2875,0.00795267,0.00101003,0.0125,0.0110496
103,1.3,0.00792458,0.00101228,0.0125,0.0110496
104,1.3125,0.00789507,0.00101445,0.0125,0.0110496
105,1.325,0.00786421,0.00101651,0.0125,0.0110496
106,1.3375,0.00783205,0.00101849,0.0125,0.0110496
107,1.35,0.00779867,0.00102037,0.0125,0.0110495
108,1.3625,0.00776411,0.00102216,0.0125,0.0110495
109,1.375,0.00772847,0.00102386,0.0125,0.0110495
110,1.3875,0.00769181,0.00102546,0.0125,0.0110495
111,1.4,0.0076542,0.00102696,0.0125,0.0110495
112,1.4125,0.00761574,0.00102836,0.0125,0.0110495
113,1.425,0.0075765,0.00102967,0.0125,0.0110494
114,1.4375,0.00753657,0.00103088,0.0125,0.0110494
115,1.45,0.00749605,0.00103199,0.0125,0.0110494
116,1.4625,0.00745501,0.00103301,0.0125,0.0110494
117,1.475,0.00741357,0.00103392,0.0125,0.0110494
118,1.4875,0.00737181,0.00103474,0.0125,0.0110494
119,1.5,0.00732983,0.00103545,0.0125,0.0110493
120,1.5125,0.00728774,0.00103607,0.0125,0.0110493
121,1.525,0.00724565,0.00103659,0.0125,0.0110493
122,1.5375,0.00720365,0.001037,0.0125,0.0110493
123,1.55,0.00716185,0.00103731,0.0125,0.0110493
124,1.5625,0.00712038,0.00103753,0.0125,0.0110492
125,1.575,0.00707932,0.00103764,0.0125,0.0110489
126,1.5875,0.0070388,0.00103765,0.0125,0.0110487
127,1.6,0.00699893,0.00103756,0.0125,0.0110516
128,1.6125,0.00695982,0.00103737,0.0125,0.011058
129,1.625,0.00692158,0.00103708,0.0125,0.0110678
130,1.6375,0.00688433,0.00103668,0.0125,0.011081
131,1.65,0.00684816,0.00103619,0.0125,0.0110977
132,1.6625,0.0068132,0.00103559,0.0125,0.0111179
133,1.675,0.00677954,0.00103489,0.0125,0.0111416
134,1.6875,0.00674729,0.00103409,0.0125,0.0111687
135,1.7,0.00671656,0.00103319,0.0125,0.0111993
136,1.7125,0.00668745,0.00103219,0.0125,0.0112335
137,1.725,0.00666003,0.00103109,0.0125,0.0112711
138,1.7375,0.00663442,0.00102989,0.0125,0.0113122
139,1.75,0.00661069,0.00102859,0.0125,0.0113568
140,1.7625,0.00658892,0.00102719,0.0125,0.011405
141,1.775,0.00656919,0.00102569,0.0125,0.0114566
142,1.7875,0.00655157,0.00102409,0.0125,0.0115118
143,1.8,0.00653611,0.00102239,0.0125,0.0115705
144,1.8125,0.00652287,0.00102059,0.0125,0.0116327
145,1.825,0.0065119,0.0010187,0.0125,0.0116984
146,1.8375,0.00650324,0.00101671,0.0125,0.0117676
147,1.85,0.00649691,0.00101463,0.0125,0.0118403
148,1.8625,0.00649295,0.00101244,0.0125,0.0119165
149,1.875,0.00649136,0.00101017,0.0125,0.0119158
150,1.8875,0.00649215,0.0010078,0.0125,0.0118397
151,1.9,0.00649532,0.00100534,0.0125,0.011767
152,1.9125,0.00650085,0.00100278,0.0125,0.0116978
153,1.925,0.00650874,0.00100013,0.0125,0.0116321
154,1.9375,0.00651894,0.000997395,0.0125,0.01157
155,1.95,0.00653142,0.000994567,0.0125,0.0115113
156,1.9625,0.00654613,0.00099165,0.0125,0.0114561
157,1.975,0.00656304,0.000988646,0.0125,0.0114045
158,1.9875,0.00658207,0.000985555,0.0125,0.0113564
159,2,0.00660316,0.000982378,0.0125,0.0113118
