Step,Time,Norm_diffusion,Norm_projection,dt,CFL
49,0.625,11.3607,0.00186754,0.0125,0.0886921
50,0.6375,11.3041,0.00184896,0.0125,0.0891366
51,0.65,11.2477,0.00183057,0.0125,0.0895834
52,0.6625,11.1916,0.00181236,0.0125,0.0900324
53,0.675,11.1358,0.00179433,0.0125,0.0904837
54,0.6875,11.0802,0.00177647,0.0125,0.0909372
55,0.7,11.025,0.0017588,0.0125,0.0913931
56,0.7125,10.97,0.0017413,0.0125,0.0918511
57,0.725,10.9153,0.00172398,0.0125,0.0923115
58,0.7375,10.8608,0.00170683,0.0125,0.0927742
59,0.75,10.8067,0.00168985,0.0125,0.0932392
60,0.7625,10.7528,0.00167304,0.0125,0.0937066
61,0.775,10.6992,0.00165639,0.0125,0.0941763
62,0.7875,10.6458,0.00163991,0.0125,0.0946483
63,0.8,10.5927,0.0016236,0.0125,0.0951227
64,0.8125,10.5399,0.00160744,0.0125,0.0955995
65,0.825,10.4873,0.00159145,0.0125,0.0960787
66,0.8375,10.435,0.00157562,0.0125,0.0965603
67,0.85,10.383,0.00155994,0.0125,0.0970442
68,0.8625,10.3312,0.00154442,0.0125,0.0975307
69,0.875,10.2796,0.00152906,0.0125,0.0980195
70,0.8875,10.2284,0.00151385,0.0125,0.0985108
71,0.9,10.1774,0.00149878,0.0125,0.0990046
72,0.9125,10.1266,0.00148387,0.0125,0.0995008
73,0.925,10.0761,0.00146911,0.0125,0.0999995
74,0.9375,10.0258,0.00145449,0.0125,0.100501
75,0.95,9.97585,0.00144002,0.0125,0.101005
76,0.9625,9.92609,0.0014257,0.0125,0.101511
77,0.975,9.87659,0.00141151,0.0125,0.10202
78,0.9875,9.82733,0.00139747,0.0125,0.102531
79,1,9.77832,0.00138356,0.0125,0.103045

1,0.0125,28.9805,0.00152622,0.00625,0.0695938
2,0.01875,28.9082,0.00151946,0.00625,0.069768
3,0.025,28.836,0.00150989,0.00625,0.0699426
4,0.03125,28.764,0.00150274,0.00625,0.0701177
5,0.0375,28.6922,0.00149524,0.00625,0.0702932
6,0.04375,28.6205,0.00148779,0.00625,0.0704692
7,0.05,28.5491,0.00148037,0.00625,0.0706456
8,0.05625,28.4778,0.00147299,0.00625,0.0708224
9,0.0625,28.4067,0.00146564,0.00625,0.0709997
10,0.06875,28.3358,0.00145833,0.00625,0.0711774
11,0.075,28.265,0.00145106,0.00625,0.0713556
12,0.08125,28.1944,0.00144382,0.00625,0.0715342
13,0.0875,28.124,0.00143662,0.00625,0.0717133
14,0.09375,28.0538,0.00142946,0.00625,0.0718928
15,0.1,27.9838,0.00142233,0.00625,0.0720727
16,0.10625,27.9139,0.00141524,0.00625,0.0722531
17,0.1125,27.8442,0.00140818,0.00625,0.072434
18,0.11875,27.7747,0.00140116,0.00625,0.0726153
19,0.125,27.7053,0.00139417,0.00625,0.0727971
20,0.13125,27.6361,0.00138722,0.00625,0.0729793
21,0.1375,27.5671,0.0013803,0.00625,0.073162
22,0.14375,27.4983,0.00137341,0.00625,0.0733451
23,0.15,27.4297,0.00136656,0.00625,0.0735287
24,0.15625,27.3612,0.00135975,0.00625,0.0737127
25,0.1625,27.2929,0.00135297,0.00625,0.0738973
26,0.16875,27.2247,0.00134622,0.00625,0.0740822
27,0.175,27.1567,0.00133951,0.00625,0.0742677
28,0.18125,27.0889,0.00133283,0.00625,0.0744536
29,0.1875,27.0213,0.00132618,0.00625,0.0746399
30,0.19375,26.9538,0.00131957,0.00625,0.0748268
31,0.2,26.8865,0.00131298,0.00625,0.0750141
32,0.20625,26.8194,0.00130644,0.00625,0.0752018
33,0.2125,26.7524,0.00129992,0.00625,0.0753901
34,0.21875,26.6856,0.00129344,0.00625,0.0755788
35,0.225,26.619,0.00128699,0.00625,0.075768
36,0.23125,26.5525,0.00128057,0.00625,0.0759576
37,0.2375,26.4862,0.00127418,0.00625,0.0761477
38,0.24375,26.4201,0.00126783,0.00625,0.0763384
39,0.25,26.3541,0.00126151,0.00625,0.0765294
40,0.25625,26.2883,0.00125521,0.00625,0.076721
41,0.2625,26.2227,0.00124895,0.00625,0.076913
42,0.26875,26.1572,0.00124273,0.00625,0.0771056
43,0.275,26.0919,0.00123653,0.00625,0.0772986
44,0.28125,26.0268,0.00123036,0.00625,0.0774921
45,0.2875,25.9618,0.00122422,0.00625,0.077686
46,0.29375,25.897,0.00121812,0.00625,0.0778805
47,0.3,25.8323,0.00121204,0.00625,0.0780754
48,0.30625,25.7678,0.001206,0.00625,0.0782709
49,0.3125,25.7035,0.00119999,0.00625,0.0784668
50,0.31875,25.6393,0.001194,0.00625,0.0786632
51,0.325,25.5753,0.00118805,0.00625,0.0788601
52,0.33125,25.5114,0.00118212,0.00625,0.0790575
53,0.3375,25.4477,0.00117623,0.00625,0.0792554
54,0.34375,25.3842,0.00117036,0.00625,0.0794538
55,0.35,25.3208,0.00116452,0.00625,0.0796526
56,0.35625,25.2576,0.00115871,0.00625,0.079852
57,0.3625,25.1945,0.00115294,0.00625,0.0800519
58,0.36875,25.1316,0.00114719,0.00625,0.0802523
59,0.375,25.0688,0.00114146,0.00625,0.0804532
60,0.38125,25.0063,0.00113577,0.00625,0.0806545
61,0.3875,24.9438,0.00113011,0.00625,0.0808564
