Step,Time,Norm_diffusion,Norm_projection,dt,CFL
49,0.625,0.162004,0.00185669,0.0125,0.0886923
50,0.6375,0.161196,0.00183822,0.0125,0.0891369
51,0.65,0.160392,0.00181993,0.0125,0.0895837
52,0.6625,0.159592,0.00180182,0.0125,0.0900327
53,0.675,0.158796,0.00178389,0.0125,0.090484
54,0.6875,0.158003,0.00176614,0.0125,0.0909375
55,0.7,0.157215,0.00174857,0.0125,0.0913933
56,0.7125,0.156431,0.00173117,0.0125,0.0918514
57,0.725,0.15565,0.00171394,0.0125,0.0923118
58,0.7375,0.154874,0.00169689,0.0125,0.0927745
59,0.75,0.154101,0.00168001,0.0125,0.0932395
60,0.7625,0.153333,0.00166329,0.0125,0.0937069
61,0.775,0.152568,0.00164674,0.0125,0.0941766
62,0.7875,0.151807,0.00163036,0.0125,0.0946486
63,0.8,0.151049,0.00161413,0.0125,0.095123
64,0.8125,0.150296,0.00159807,0.0125,0.0955998
65,0.825,0.149546,0.00158217,0.0125,0.096079
66,0.8375,0.1488,0.00156643,0.0125,0.0965606
67,0.85,0.148058,0.00155085,0.0125,0.0970446
68,0.8625,0.147319,0.00153541,0.0125,0.097531
69,0.875,0.146584,0.00152014,0.0125,0.0980199
70,0.8875,0.145853,0.00150501,0.0125,0.0985112
71,0.9,0.145125,0.00149004,0.0125,0.099005
72,0.9125,0.144401,0.00147521,0.0125,0.0995012
73,0.925,0.143681,0.00146053,0.0125,0.0999999
74,0.9375,0.142964,0.001446,0.0125,0.100501
75,0.95,0.142251,0.00143161,0.0125,0.101005
76,0.9625,0.141541,0.00141737,0.0125,0.101511
77,0.975,0.140835,0.00140327,0.0125,0.10202
78,0.9875,0.140133,0.0013893,0.0125,0.102531
79,1,0.139434,0.00137548,0.0125,0.103045

